price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,area_original
8120000,6840.0,5,1.0,2,yes,yes,yes,no,yes,1,no,furnished,6840.0
8080940,7000.0,3,2.0,4,yes,no,no,no,yes,2,no,furnished,7000.0
8043000,7482.0,3,2.0,3,yes,no,no,yes,no,1,yes,furnished,7482.0
7980000,9000.0,4,2.0,4,yes,no,no,no,yes,2,no,furnished,9000.0
7962500,6000.0,3,1.0,4,yes,yes,no,no,yes,2,no,unfurnished,6000.0
7910000,6000.0,4,2.0,4,yes,no,no,no,yes,1,no,semi-furnished,6000.0
7875000,6550.0,3,1.0,2,yes,no,yes,no,yes,0,yes,furnished,6550.0
7840000,6360.0,3,2.0,4,yes,no,no,no,yes,0,yes,furnished,6360.0
7700000,6480.0,3,2.0,4,yes,no,no,no,yes,2,no,unfurnished,6480.0
7700000,6000.0,4,2.0,4,yes,no,no,no,no,2,no,semi-furnished,6000.0
7560000,6000.0,4,2.0,4,yes,no,no,no,yes,1,no,furnished,6000.0
7560000,6000.0,3,2.0,3,yes,no,no,no,yes,0,no,semi-furnished,6000.0
7525000,6000.0,3,2.0,4,yes,no,no,no,yes,1,no,furnished,6000.0
7490000,6600.0,3,1.0,4,yes,no,no,no,yes,3,yes,furnished,6600.0
7455000,4300.0,3,2.0,2,yes,no,yes,no,no,1,no,unfurnished,4300.0
7420000,7440.0,3,2.0,1,yes,yes,yes,no,yes,0,yes,semi-furnished,7440.0
7420000,7440.0,3,2.0,4,yes,no,no,no,no,1,yes,unfurnished,7440.0
7420000,6325.0,3,1.0,4,yes,no,no,no,yes,1,no,unfurnished,6325.0
7350000,6000.0,4,2.0,4,yes,yes,no,no,yes,1,no,furnished,6000.0
7350000,5150.0,3,2.0,4,yes,no,no,no,yes,2,no,semi-furnished,5150.0
7350000,6000.0,3,2.0,2,yes,yes,no,no,yes,1,no,semi-furnished,6000.0
7350000,6000.0,3,1.0,2,yes,no,no,no,yes,1,no,unfurnished,6000.0
7343000,11440.0,4,1.0,2,yes,no,yes,no,no,1,yes,semi-furnished,11440.0
7245000,9000.0,4,2.0,4,yes,yes,no,no,yes,1,yes,furnished,9000.0
7210000,7680.0,4,2.0,4,yes,yes,no,no,yes,1,no,semi-furnished,7680.0
7210000,6000.0,3,2.0,4,yes,yes,no,no,yes,1,no,furnished,6000.0
7140000,6000.0,3,2.0,2,yes,yes,no,no,no,1,no,semi-furnished,6000.0
7070000,8880.0,2,1.0,1,yes,no,no,no,yes,1,no,semi-furnished,8880.0
7070000,6240.0,4,2.0,2,yes,no,no,no,yes,1,no,furnished,6240.0
7035000,6360.0,4,2.0,3,yes,no,no,no,yes,2,yes,furnished,6360.0
7000000,11175.0,3,1.0,1,yes,no,yes,no,yes,1,yes,furnished,11175.0
6930000,8880.0,3,2.0,2,yes,no,yes,no,yes,1,no,furnished,8880.0
6930000,11657.567999999963,2,1.0,1,yes,no,yes,yes,no,1,no,furnished,11657.567999999963
6895000,7700.0,3,2.0,1,yes,no,no,no,no,2,no,unfurnished,7700.0
6860000,6000.0,3,1.0,1,yes,no,no,no,yes,1,no,furnished,6000.0
6790000,11657.567999999963,4,2.0,2,yes,no,no,no,no,2,yes,furnished,11657.567999999963
6790000,4000.0,3,2.0,2,yes,no,yes,no,yes,0,yes,semi-furnished,4000.0
6755000,6000.0,4,2.0,4,yes,no,no,no,yes,0,no,unfurnished,6000.0
6720000,5020.0,3,1.0,4,yes,no,no,no,yes,0,yes,unfurnished,5020.0
6685000,6600.0,2,2.0,4,yes,no,yes,no,no,0,yes,furnished,6600.0
6650000,4040.0,3,1.0,2,yes,no,yes,yes,no,1,no,furnished,4040.0
6650000,4260.0,4,2.0,2,yes,no,no,yes,no,0,no,semi-furnished,4260.0
6650000,6420.0,3,2.0,3,yes,no,no,no,yes,0,yes,furnished,6420.0
6650000,6500.0,3,2.0,3,yes,no,no,no,yes,0,yes,furnished,6500.0
6650000,5700.0,3,1.0,1,yes,yes,yes,no,yes,2,yes,furnished,5700.0
6650000,6000.0,3,2.0,3,yes,yes,no,no,yes,0,no,furnished,6000.0
6629000,6000.0,3,1.0,2,yes,no,no,yes,no,1,yes,semi-furnished,6000.0
6615000,4000.0,3,2.0,2,yes,no,yes,no,yes,1,no,semi-furnished,4000.0
6615000,10500.0,3,2.0,1,yes,no,yes,no,yes,1,yes,furnished,10500.0
6580000,6000.0,3,2.0,4,yes,no,no,no,yes,0,no,semi-furnished,6000.0
6510000,3760.0,3,1.0,2,yes,no,no,yes,no,2,no,semi-furnished,3760.0
6510000,8250.0,3,2.0,3,yes,no,no,no,yes,0,no,furnished,8250.0
6510000,6670.0,3,1.0,3,yes,no,yes,no,no,0,yes,unfurnished,6670.0
6475000,3960.0,3,1.0,1,yes,no,yes,no,no,2,no,semi-furnished,3960.0
6475000,7410.0,3,1.0,1,yes,yes,yes,no,yes,2,yes,unfurnished,7410.0
6440000,8580.0,5,3.0,2,yes,no,no,no,no,2,no,furnished,8580.0
6440000,5000.0,3,1.0,2,yes,no,no,no,yes,0,no,semi-furnished,5000.0
6419000,6750.0,2,1.0,1,yes,yes,yes,no,no,2,yes,furnished,6750.0
6405000,4800.0,3,2.0,4,yes,yes,no,no,yes,0,no,furnished,4800.0
6300000,7200.0,3,2.0,1,yes,no,yes,no,yes,3,no,semi-furnished,7200.0
6300000,6000.0,4,2.0,4,yes,no,no,no,no,1,no,semi-furnished,6000.0
6300000,4100.0,3,2.0,3,yes,no,no,no,yes,2,no,semi-furnished,4100.0
6300000,9000.0,3,1.0,1,yes,no,yes,no,no,1,yes,furnished,9000.0
6300000,6400.0,3,1.0,1,yes,yes,yes,no,yes,1,yes,semi-furnished,6400.0
6293000,6600.0,3,2.0,3,yes,no,no,no,yes,0,yes,unfurnished,6600.0
6265000,6000.0,4,1.0,3,yes,yes,yes,no,no,0,yes,unfurnished,6000.0
6230000,6600.0,3,2.0,1,yes,no,yes,no,yes,0,yes,unfurnished,6600.0
6230000,5500.0,3,1.0,3,yes,no,no,no,no,1,yes,unfurnished,5500.0
6195000,5500.0,3,2.0,4,yes,yes,no,no,yes,1,no,semi-furnished,5500.0
6195000,6350.0,3,2.0,3,yes,yes,no,no,yes,0,no,furnished,6350.0
6195000,5500.0,3,2.0,1,yes,yes,yes,no,no,2,yes,furnished,5500.0
6160000,4500.0,3,1.0,4,yes,no,no,no,yes,0,no,unfurnished,4500.0
6160000,5450.0,4,2.0,1,yes,no,yes,no,yes,0,yes,semi-furnished,5450.0
6125000,6420.0,3,1.0,3,yes,no,yes,no,no,0,yes,unfurnished,6420.0
6107500,3240.0,4,1.0,3,yes,no,no,no,no,1,no,semi-furnished,3240.0
6090000,6615.0,4,2.0,2,yes,yes,no,yes,no,1,no,semi-furnished,6615.0
6090000,6600.0,3,1.0,1,yes,yes,yes,no,no,2,yes,semi-furnished,6600.0
6090000,8372.0,3,1.0,3,yes,no,no,no,yes,2,no,unfurnished,8372.0
6083000,4300.0,6,2.0,2,yes,no,no,no,no,0,no,furnished,4300.0
6083000,9620.0,3,1.0,1,yes,no,yes,no,no,2,yes,furnished,9620.0
6020000,6800.0,2,1.0,1,yes,yes,yes,no,no,2,no,furnished,6800.0
6020000,8000.0,3,1.0,1,yes,yes,yes,no,yes,2,yes,semi-furnished,8000.0
6020000,6900.0,3,2.0,1,yes,yes,yes,no,no,0,yes,unfurnished,6900.0
5950000,3700.0,4,1.0,2,yes,yes,no,no,yes,0,no,furnished,3700.0
5950000,6420.0,3,1.0,1,yes,no,yes,no,yes,0,yes,furnished,6420.0
5950000,7020.0,3,1.0,1,yes,no,yes,no,yes,2,yes,semi-furnished,7020.0
5950000,6540.0,3,1.0,1,yes,yes,yes,no,no,2,yes,furnished,6540.0
5950000,7231.0,3,1.0,2,yes,yes,yes,no,yes,0,yes,semi-furnished,7231.0
5950000,6254.0,4,2.0,1,yes,no,yes,no,no,1,yes,semi-furnished,6254.0
5950000,7320.0,4,2.0,2,yes,no,no,no,no,0,no,furnished,7320.0
5950000,6525.0,3,2.0,4,yes,no,no,no,no,1,no,furnished,6525.0
5943000,11657.567999999963,3,1.0,1,yes,no,no,no,yes,2,no,semi-furnished,11657.567999999963
5880000,7160.0,3,1.0,1,yes,no,yes,no,no,2,yes,unfurnished,7160.0
5880000,6500.0,3,2.0,3,yes,no,no,no,yes,0,no,unfurnished,6500.0
5873000,5500.0,3,1.0,3,yes,yes,no,no,yes,1,no,furnished,5500.0
5873000,11460.0,3,1.0,3,yes,no,no,no,no,2,yes,semi-furnished,11460.0
5866000,4800.0,3,1.0,1,yes,yes,yes,no,no,0,no,unfurnished,4800.0
5810000,5828.0,4,1.0,4,yes,yes,no,no,no,0,no,semi-furnished,5828.0
5810000,5200.0,3,1.0,3,yes,no,no,no,yes,0,no,semi-furnished,5200.0
5810000,4800.0,3,1.0,3,yes,no,no,no,yes,0,no,unfurnished,4800.0
5803000,7000.0,3,1.0,1,yes,no,yes,no,no,2,yes,semi-furnished,7000.0
5775000,6000.0,3,2.0,4,yes,no,no,no,yes,0,no,unfurnished,6000.0
5740000,5400.0,4,2.0,2,yes,no,no,no,yes,2,no,unfurnished,5400.0
5740000,4640.0,4,1.0,2,yes,no,no,no,no,1,no,semi-furnished,4640.0
5740000,5000.0,3,1.0,3,yes,no,no,no,yes,0,no,semi-furnished,5000.0
5740000,6360.0,3,1.0,1,yes,yes,yes,no,yes,2,yes,furnished,6360.0
5740000,5800.0,3,2.0,4,yes,no,no,no,yes,0,no,unfurnished,5800.0
5652500,6660.0,4,2.0,2,yes,yes,yes,no,no,1,yes,semi-furnished,6660.0
5600000,10500.0,4,2.0,2,yes,no,no,no,no,1,no,semi-furnished,10500.0
5600000,4800.0,5,2.0,3,no,no,yes,yes,no,0,no,unfurnished,4800.0
5600000,4700.0,4,1.0,2,yes,yes,yes,no,yes,1,no,furnished,4700.0
5600000,5000.0,3,1.0,4,yes,no,no,no,no,0,no,furnished,5000.0
5600000,10500.0,2,1.0,1,yes,no,no,no,no,1,no,semi-furnished,10500.0
5600000,5500.0,3,2.0,2,yes,no,no,no,no,1,no,semi-furnished,5500.0
5600000,6360.0,3,1.0,3,yes,no,no,no,no,0,yes,semi-furnished,6360.0
5600000,6600.0,4,2.0,1,yes,no,yes,no,no,0,yes,semi-furnished,6600.0
5600000,5136.0,3,1.0,2,yes,yes,yes,no,yes,0,yes,unfurnished,5136.0
5565000,4400.0,4,1.0,2,yes,no,no,no,yes,2,yes,semi-furnished,4400.0
5565000,5400.0,5,1.0,2,yes,yes,yes,no,yes,0,yes,furnished,5400.0
5530000,3300.0,3,3.0,2,yes,no,yes,no,no,0,no,semi-furnished,3300.0
5530000,3650.0,3,2.0,2,yes,no,no,no,no,2,no,semi-furnished,3650.0
5530000,6100.0,3,2.0,1,yes,no,yes,no,no,2,yes,furnished,6100.0
5523000,6900.0,3,1.0,1,yes,yes,yes,no,no,0,yes,semi-furnished,6900.0
5495000,2817.0,4,2.0,2,no,yes,yes,no,no,1,no,furnished,2817.0
5495000,7980.0,3,1.0,1,yes,no,no,no,no,2,no,semi-furnished,7980.0
5460000,3150.0,3,2.0,1,yes,yes,yes,no,yes,0,no,furnished,3150.0
5460000,6210.0,4,1.0,4,yes,yes,no,no,yes,0,no,furnished,6210.0
5460000,6100.0,3,1.0,3,yes,yes,no,no,yes,0,yes,semi-furnished,6100.0
5460000,6600.0,4,2.0,2,yes,yes,yes,no,no,0,yes,semi-furnished,6600.0
5425000,6825.0,3,1.0,1,yes,yes,yes,no,yes,0,yes,semi-furnished,6825.0
5390000,6710.0,3,2.0,2,yes,yes,yes,no,no,1,yes,furnished,6710.0
5383000,6450.0,3,2.0,1,yes,yes,yes,yes,no,0,no,unfurnished,6450.0
5320000,7800.0,3,1.0,1,yes,no,yes,no,yes,2,yes,unfurnished,7800.0
5285000,4600.0,2,2.0,1,yes,no,no,no,yes,2,no,semi-furnished,4600.0
5250000,4260.0,4,1.0,2,yes,no,yes,no,yes,0,no,furnished,4260.0
5250000,6540.0,4,2.0,2,no,no,no,no,yes,0,no,semi-furnished,6540.0
5250000,5500.0,3,2.0,1,yes,no,yes,no,no,0,no,semi-furnished,5500.0
5250000,10269.0,3,1.0,1,yes,no,no,no,no,1,yes,semi-furnished,10269.0
5250000,8400.0,3,1.0,2,yes,yes,yes,no,yes,2,yes,unfurnished,8400.0
5250000,5300.0,4,2.0,1,yes,no,no,no,yes,0,yes,unfurnished,5300.0
5250000,3800.0,3,1.0,2,yes,yes,yes,no,no,1,yes,unfurnished,3800.0
5250000,9800.0,4,2.0,2,yes,yes,no,no,no,2,no,semi-furnished,9800.0
5250000,8520.0,3,1.0,1,yes,no,no,no,yes,2,no,furnished,8520.0
5243000,6050.0,3,1.0,1,yes,no,yes,no,no,0,yes,semi-furnished,6050.0
5229000,7085.0,3,1.0,1,yes,yes,yes,no,no,2,yes,semi-furnished,7085.0
5215000,3180.0,3,2.0,2,yes,no,no,no,no,2,no,semi-furnished,3180.0
5215000,4500.0,4,2.0,1,no,no,yes,no,yes,2,no,semi-furnished,4500.0
5215000,7200.0,3,1.0,2,yes,yes,yes,no,no,1,yes,furnished,7200.0
5145000,3410.0,3,1.0,2,no,no,no,no,yes,0,no,semi-furnished,3410.0
5145000,7980.0,3,1.0,1,yes,no,no,no,no,1,yes,semi-furnished,7980.0
5110000,3000.0,3,2.0,2,yes,yes,yes,no,no,0,no,furnished,3000.0
5110000,3000.0,3,1.0,2,yes,no,yes,no,no,0,no,unfurnished,3000.0
5110000,11410.0,2,1.0,2,yes,no,no,no,no,0,yes,furnished,11410.0
5110000,6100.0,3,1.0,1,yes,no,yes,no,yes,0,yes,semi-furnished,6100.0
5075000,5720.0,2,1.0,2,yes,no,no,no,yes,0,yes,unfurnished,5720.0
5040000,3540.0,2,1.0,1,no,yes,yes,no,no,0,no,semi-furnished,3540.0
5040000,7600.0,4,1.0,2,yes,no,no,no,yes,2,no,furnished,7600.0
5040000,10700.0,3,1.0,2,yes,yes,yes,no,no,0,no,semi-furnished,10700.0
5040000,6600.0,3,1.0,1,yes,yes,yes,no,no,0,yes,furnished,6600.0
5033000,4800.0,2,1.0,1,yes,yes,yes,no,no,0,no,semi-furnished,4800.0
5005000,8150.0,3,2.0,1,yes,yes,yes,no,no,0,no,semi-furnished,8150.0
4970000,4410.0,4,3.0,2,yes,no,yes,no,no,2,no,semi-furnished,4410.0
4970000,7686.0,3,1.0,1,yes,yes,yes,yes,no,0,no,semi-furnished,7686.0
4956000,2800.0,3,2.0,2,no,no,yes,no,yes,1,no,semi-furnished,2800.0
4935000,5948.0,3,1.0,2,yes,no,no,no,yes,0,no,semi-furnished,5948.0
4907000,4200.0,3,1.0,2,yes,no,no,no,no,1,no,furnished,4200.0
4900000,4520.0,3,1.0,2,yes,no,yes,no,yes,0,no,semi-furnished,4520.0
4900000,4095.0,3,1.0,2,no,yes,yes,no,yes,0,no,semi-furnished,4095.0
4900000,4120.0,2,1.0,1,yes,no,yes,no,no,1,no,semi-furnished,4120.0
4900000,5400.0,4,1.0,2,yes,no,no,no,no,0,no,semi-furnished,5400.0
4900000,4770.0,3,1.0,1,yes,yes,yes,no,no,0,no,semi-furnished,4770.0
4900000,6300.0,3,1.0,1,yes,no,no,no,yes,2,no,semi-furnished,6300.0
4900000,5800.0,2,1.0,1,yes,yes,yes,no,yes,0,no,semi-furnished,5800.0
4900000,3000.0,3,1.0,2,yes,no,yes,no,yes,0,no,semi-furnished,3000.0
4900000,2970.0,3,1.0,3,yes,no,no,no,no,0,no,semi-furnished,2970.0
4900000,6720.0,3,1.0,1,yes,no,no,no,no,0,no,unfurnished,6720.0
4900000,4646.0,3,1.0,2,yes,yes,yes,no,no,2,no,semi-furnished,4646.0
4900000,11657.567999999963,3,1.0,1,yes,no,no,no,no,2,no,furnished,11657.567999999963
4893000,3420.0,4,2.0,2,yes,no,yes,no,yes,2,no,semi-furnished,3420.0
4893000,4995.0,4,2.0,1,yes,no,yes,no,no,0,no,semi-furnished,4995.0
4865000,4350.0,2,1.0,1,yes,no,yes,no,no,0,no,unfurnished,4350.0
4830000,4160.0,3,1.0,3,yes,no,no,no,no,0,no,unfurnished,4160.0
4830000,6040.0,3,1.0,1,yes,no,no,no,no,2,yes,semi-furnished,6040.0
4830000,6862.0,3,1.0,2,yes,no,no,no,yes,2,yes,furnished,6862.0
4830000,4815.0,2,1.0,1,yes,no,no,no,yes,0,yes,semi-furnished,4815.0
4795000,7000.0,3,1.0,2,yes,no,yes,no,no,0,no,unfurnished,7000.0
4795000,8100.0,4,1.0,4,yes,no,yes,no,yes,2,no,semi-furnished,8100.0
4767000,3420.0,4,2.0,2,yes,no,no,no,no,0,no,semi-furnished,3420.0
4760000,9166.0,2,1.0,1,yes,no,yes,no,yes,2,no,semi-furnished,9166.0
4760000,6321.0,3,1.0,2,yes,no,yes,no,yes,1,no,furnished,6321.0
4760000,10240.0,2,1.0,1,yes,no,no,no,yes,2,yes,unfurnished,10240.0
4753000,6440.0,2,1.0,1,yes,no,no,no,yes,3,no,semi-furnished,6440.0
4690000,5170.0,3,1.0,4,yes,no,no,no,yes,0,no,semi-furnished,5170.0
4690000,6000.0,2,1.0,1,yes,no,yes,no,yes,1,no,furnished,6000.0
4690000,3630.0,3,1.0,2,yes,no,no,no,no,2,no,semi-furnished,3630.0
4690000,9667.0,4,2.0,2,yes,yes,yes,no,no,1,no,semi-furnished,9667.0
4690000,5400.0,2,1.0,2,yes,no,no,no,no,0,yes,semi-furnished,5400.0
4690000,4320.0,3,1.0,1,yes,no,no,no,no,0,yes,semi-furnished,4320.0
4655000,3745.0,3,1.0,2,yes,no,yes,no,no,0,no,furnished,3745.0
4620000,4160.0,3,1.0,1,yes,yes,yes,no,yes,0,no,unfurnished,4160.0
4620000,3880.0,3,2.0,2,yes,no,yes,no,no,2,no,semi-furnished,3880.0
4620000,5680.0,3,1.0,2,yes,yes,no,no,yes,1,no,semi-furnished,5680.0
4620000,2870.0,2,1.0,2,yes,yes,yes,no,no,0,yes,semi-furnished,2870.0
4620000,5010.0,3,1.0,2,yes,no,yes,no,no,0,no,semi-furnished,5010.0
4613000,4510.0,4,2.0,2,yes,no,yes,no,no,0,no,semi-furnished,4510.0
4585000,4000.0,3,1.0,2,yes,no,no,no,no,1,no,furnished,4000.0
4585000,3840.0,3,1.0,2,yes,no,no,no,no,1,yes,semi-furnished,3840.0
4550000,3760.0,3,1.0,1,yes,no,no,no,no,2,no,semi-furnished,3760.0
4550000,3640.0,3,1.0,2,yes,no,no,no,yes,0,no,furnished,3640.0
4550000,2550.0,3,1.0,2,yes,no,yes,no,no,0,no,furnished,2550.0
4550000,5320.0,3,1.0,2,yes,yes,yes,no,no,0,yes,semi-furnished,5320.0
4550000,5360.0,3,1.0,2,yes,no,no,no,no,2,yes,unfurnished,5360.0
4550000,3520.0,3,1.0,1,yes,no,no,no,no,0,yes,semi-furnished,3520.0
4550000,8400.0,4,1.0,4,yes,no,no,no,no,3,no,unfurnished,8400.0
4543000,4100.0,2,2.0,1,yes,yes,yes,no,no,0,no,semi-furnished,4100.0
4543000,4990.0,4,2.0,2,yes,yes,yes,no,no,0,yes,furnished,4990.0
4515000,3510.0,3,1.0,3,yes,no,no,no,no,0,no,semi-furnished,3510.0
4515000,3450.0,3,1.0,2,yes,no,yes,no,no,1,no,semi-furnished,3450.0
4515000,9860.0,3,1.0,1,yes,no,no,no,no,0,no,semi-furnished,9860.0
4515000,3520.0,2,1.0,2,yes,no,no,no,no,0,yes,furnished,3520.0
4480000,4510.0,4,1.0,2,yes,no,no,no,yes,2,no,semi-furnished,4510.0
4480000,5885.0,2,1.0,1,yes,no,no,no,yes,1,no,unfurnished,5885.0
4480000,4000.0,3,1.0,2,yes,no,no,no,no,2,no,furnished,4000.0
4480000,8250.0,3,1.0,1,yes,no,no,no,no,0,no,furnished,8250.0
4480000,4040.0,3,1.0,2,yes,no,no,no,no,1,no,semi-furnished,4040.0
4473000,6360.0,2,1.0,1,yes,no,yes,no,yes,1,no,furnished,6360.0
4473000,3162.0,3,1.0,2,yes,no,no,no,yes,1,no,furnished,3162.0
4473000,3510.0,3,1.0,2,yes,no,no,no,no,0,no,semi-furnished,3510.0
4445000,3750.0,2,1.0,1,yes,yes,yes,no,no,0,no,semi-furnished,3750.0
4410000,3968.0,3,1.0,2,no,no,no,no,no,0,no,semi-furnished,3968.0
4410000,4900.0,2,1.0,2,yes,no,yes,no,no,0,no,semi-furnished,4900.0
4403000,2880.0,3,1.0,2,yes,no,no,no,no,0,yes,semi-furnished,2880.0
4403000,4880.0,3,1.0,1,yes,no,no,no,no,2,yes,unfurnished,4880.0
4403000,4920.0,3,1.0,2,yes,no,no,no,no,1,no,semi-furnished,4920.0
4382000,4950.0,4,1.0,2,yes,no,no,no,yes,0,no,semi-furnished,4950.0
4375000,3900.0,3,1.0,2,yes,no,no,no,no,0,no,unfurnished,3900.0
4340000,4500.0,3,2.0,3,yes,no,no,yes,no,1,no,furnished,4500.0
4340000,1905.0,5,1.0,2,no,no,yes,no,no,0,no,semi-furnished,1905.0
4340000,4075.0,3,1.0,1,yes,yes,yes,no,no,2,no,semi-furnished,4075.0
4340000,3500.0,4,1.0,2,yes,no,no,no,no,2,no,furnished,3500.0
4340000,6450.0,4,1.0,2,yes,no,no,no,no,0,no,semi-furnished,6450.0
4319000,4032.0,2,1.0,1,yes,no,yes,no,no,0,no,furnished,4032.0
4305000,4400.0,2,1.0,1,yes,no,no,no,no,1,no,semi-furnished,4400.0
4305000,10360.0,2,1.0,1,yes,no,no,no,no,1,yes,semi-furnished,10360.0
4277000,3400.0,3,1.0,2,yes,no,yes,no,no,2,yes,semi-furnished,3400.0
4270000,6360.0,2,1.0,1,yes,no,no,no,no,0,no,furnished,6360.0
4270000,6360.0,2,1.0,2,yes,no,no,no,no,0,no,unfurnished,6360.0
4270000,4500.0,2,1.0,1,yes,no,no,no,yes,2,no,furnished,4500.0
4270000,2175.0,3,1.0,2,no,yes,yes,no,yes,0,no,unfurnished,2175.0
4270000,4360.0,4,1.0,2,yes,no,no,no,no,0,no,furnished,4360.0
4270000,7770.0,2,1.0,1,yes,no,no,no,no,1,no,furnished,7770.0
4235000,6650.0,3,1.0,2,yes,yes,no,no,no,0,no,semi-furnished,6650.0
4235000,2787.0,3,1.0,1,yes,no,yes,no,no,0,yes,furnished,2787.0
4200000,5500.0,3,1.0,2,yes,no,no,no,yes,0,no,unfurnished,5500.0
4200000,5040.0,3,1.0,2,yes,no,yes,no,yes,0,no,unfurnished,5040.0
4200000,5850.0,2,1.0,1,yes,yes,yes,no,no,2,no,semi-furnished,5850.0
4200000,2610.0,4,3.0,2,no,no,no,no,no,0,no,semi-furnished,2610.0
4200000,2953.0,3,1.0,2,yes,no,yes,no,yes,0,no,unfurnished,2953.0
4200000,2747.0,4,2.0,2,no,no,no,no,no,0,no,semi-furnished,2747.0
4200000,4410.0,2,1.0,1,no,no,no,no,no,1,no,unfurnished,4410.0
4200000,4000.0,4,2.0,2,no,no,no,no,no,0,no,semi-furnished,4000.0
4200000,2325.0,3,1.0,2,no,no,no,no,no,0,no,semi-furnished,2325.0
4200000,4600.0,3,2.0,2,yes,no,no,no,yes,1,no,semi-furnished,4600.0
4200000,3640.0,3,2.0,2,yes,no,yes,no,no,0,no,unfurnished,3640.0
4200000,5800.0,3,1.0,1,yes,no,no,yes,no,2,no,semi-furnished,5800.0
4200000,7000.0,3,1.0,1,yes,no,no,no,no,3,no,furnished,7000.0
4200000,4079.0,3,1.0,3,yes,no,no,no,no,0,no,semi-furnished,4079.0
4200000,3520.0,3,1.0,2,yes,no,no,no,no,0,yes,semi-furnished,3520.0
4200000,2145.0,3,1.0,3,yes,no,no,no,no,1,yes,unfurnished,2145.0
4200000,4500.0,3,1.0,1,yes,no,yes,no,no,0,no,furnished,4500.0
4193000,8250.0,3,1.0,1,yes,no,yes,no,no,3,no,semi-furnished,8250.0
4193000,3450.0,3,1.0,2,yes,no,no,no,no,1,no,semi-furnished,3450.0
4165000,4840.0,3,1.0,2,yes,no,no,no,no,1,no,semi-furnished,4840.0
4165000,4080.0,3,1.0,2,yes,no,no,no,no,2,no,semi-furnished,4080.0
4165000,4046.0,3,1.0,2,yes,no,yes,no,no,1,no,semi-furnished,4046.0
4130000,4632.0,4,1.0,2,yes,no,no,no,yes,0,no,semi-furnished,4632.0
4130000,5985.0,3,1.0,1,yes,no,yes,no,no,0,no,semi-furnished,5985.0
